region,yield0,cows0,milk0,yield1,cows1,milk1,delta_cows,delta_yield,extensive,intensive,interaction,delta_milk,ext_share,int_share,inter_share
Absheron district,1228.9103203635962,9021.0,11086.0,3630.071391258924,11486.0,41695.0,2465.0,2401.1610708953276,3029263.9396962645,21660874.02054675,5918862.039756983,30609000.0,0.09896644580666683,0.7076635636756102,0.193369990517723
Agdash district,1065.1747606413658,17338.0,18468.0,1995.3305316523247,29982.0,59824.0,12644.0,930.1557710109589,13468069.673549429,16127040.757788006,11760889.568662565,41356000.0,0.3256618065951598,0.38995649380472014,0.28438169960012005
Aghdam district,1001.5486927211442,10977.0,10994.0,2073.776845561078,21931.0,45480.0,10954.0,1072.228152839934,10970964.380067414,11769848.433723954,11745187.186208637,34486000.0,0.31812806298403445,0.34129352298683385,0.3405784140291317
Aghjabadi district,1215.2510516423522,33519.0,40734.0,3173.04918779414,52696.0,167207.0,19177.0,1957.7981361517877,23304869.41734539,65623435.725671776,37544694.856982835,126473000.0,0.18426754656998245,0.5188730853674047,0.29685936806261287
Aghstafa district,1013.145965548504,8824.0,8940.0,1493.0504153302081,12159.0,18154.0,3335.0,479.9044497817041,3378841.795104261,4234676.864873757,1600481.3400219833,9214000.0,0.36670737954246374,0.45959158507420844,0.1737010353833279
Aghsu district,898.792888148897,16817.0,15115.0,1730.2225797801018,18645.0,32260.0,1828.0,831.4296916312048,1642993.3995361836,13982153.124161972,1519853.4763018424,17145000.0,0.09582930297673864,0.815523658452142,0.08864703857111944
Astara district,1176.9216555801922,10824.0,12739.0,1436.8083222664895,18072.0,25966.0,7248.0,259.8866666862973,8530328.159645233,2813013.280212482,1883658.5601422829,13227000.0,0.644917831681049,0.21267205565982328,0.14241011265912779
Babak district,1362.5758282781148,8572.0,11680.0,1892.3518164435945,5230.0,9897.0,-3342.0,529.7759881654797,-4553728.41810546,4541239.770554492,-1770511.3524490332,-1783000.0,2.5539699484607166,-2.54696565931267,0.9929957108519532
Baku city,1138.157894736842,2584.0,2941.0,1119.5279786829083,5254.0,5882.0,2670.0,-18.629916053933812,3038881.5789473685,-48139.70308336497,-49741.875864003276,2941000.0,1.03328173374613,-0.01636848115721352,-0.016913252588916447
Balakan district,919.7569142998884,16126.0,14832.0,1727.6447876447876,12950.0,22373.0,-3176.0,807.8878733448992,-2921147.9598164456,13027999.845559845,-2565851.8857433996,7541000.0,-0.38736877865222735,1.727622310775739,-0.3402535321235115
Barda district,1265.0667779632722,23960.0,30311.0,2005.4046479972776,49957.0,100184.0,25997.0,740.3378700340054,32887941.02671119,17738495.366014767,19246563.607274037,69873000.0,0.47068168000101884,0.2538676651355283,0.27545065486345277
Beylagan district,1190.0558457935508,16653.0,19818.0,1431.6320326191924,27959.0,40027.0,11306.0,241.57618682564157,13454771.392541885,4022968.239207409,2731260.3682507034,20209000.0,0.6657811565412384,0.19906814979501256,0.135150693663749
Bilasuvar district,830.0498753117207,16040.0,13314.0,1408.7976239246211,19528.0,27511.0,3488.0,578.7477486129004,2895213.965087282,9283113.887750922,2018672.1471617967,14197000.0,0.20393139149730802,0.6538785579876679,0.14219005051502406
