region,growth_dev,spatial_lag_dev
Absheron district,0.5952749796427717,0.006352911991416743
Agdash district,0.13982135931538003,0.11613181354637214
Aghdam district,0.23997453599271729,0.014246201638262845
Aghjabadi district,0.47189285501934425,0.07364619155072172
Aghstafa district,-0.1000884985750281,0.020807967855631104
Aghsu district,0.1671032332445092,0.28472403445262506
Astara district,-0.2883275296177644,-0.053977166270931465
Babak district,-0.15940597408198903,-0.5336309795905714
Baku city,-0.5043534019140085,0.08384147231355332
Balakan district,0.1425554768537623,-0.14213233826117777
Barda district,-0.02712852697519108,0.19012852072353914
Beylagan district,-0.30303463733453484,0.16224532281597415
Bilasuvar district,0.041156603732089125,-0.2537235919829679
Dashkasan district,0.2614174216317114,0.24566967933973682
Fuzuli district,0.38581888234902634,0.20421572920919573
Gabala district,0.4273604791973779,0.010668988329369133
Gadabay district,0.5906388502280122,0.11825331331150668
Gakh district,0.021782189730151058,0.08994816626357616
Ganja city,0.3112664142587959,0.44467759678540664
Gazakh district,-0.06544429277608088,-0.14070055791972885
Gobustan district,0.01779950206729447,0.2785931418461083
Goranboy district,0.5833897922051683,0.268454006827787
Goychay district,-0.09960487613313002,0.29174391919718956
Goygol district,0.5331096288793151,0.22854157183979895
Guba district,-0.06634181872156725,0.27222754697016305
Gubadli district,-0.025236319047782008,-0.503649173995817
Gusar district,-0.00033402005805871493,0.2914589136118685
Hajigabul district,0.04840841459114448,0.08073680845414533
Imishli district,-0.0770955327799499,-0.10541717990222943
Ismayilli district,0.39015228830083365,0.1746047223027184
Jabrayil district,0.45134700924453824,-0.5173113634762804
Jalilabad district,-0.20480166500110536,-0.14410981307768173
Julfa district,-0.09220012617294676,-0.217692769987598
Kalbajar district,-0.005515873529742976,0.11832663705309998
Khachmaz district,0.6351942583938972,-0.12482141849069617
Khizi district,0.022520539815826746,0.25187071478881595
Khojaly district,-0.7404056418623458,-0.04527628587725652
Khojavand district,0.3591059272862383,0.06614160260873603
Kurdamir district,0.2521668015838315,0.0667559252564689
Lachin district,-0.036115688021440384,-0.14362503613310884
Lankaran district,-0.3160000463101449,-0.3289395889624651
Lerik district,0.2892698324576834,-0.18293164763577413
Masalli district,-0.3905347751092105,-0.03564822836925691
Mingachevir city,0.4167561182873712,-0.5768273372883929
Nakhchivan city,-1.468141580084726,-0.20001803342668978
Neftchala district,-0.3165163834085575,-0.24673771825404583
Oghuz district,-0.05600664665903854,0.38674841985267716
Ordubad district,-0.4531211033667633,-0.1328121855176475
Saatli district,-0.35682087660047884,-0.07029568195410696
Sabirabad district,-0.05311193878035786,-0.05283217732202683
Sadarak district,-0.7961686115612936,0.06662505069333957
Salyan district,-0.27032279925915365,-0.12518708315944332
Samukh district,0.4374696833808997,0.23684239422368947
Shabran district,-0.18595223865836025,0.21312745647874354
Shahbuz district,0.08128494552006066,-0.16641510947216864
Shaki district,0.05573127236040826,-0.018829869614549688
Shamakhi district,0.6106168707134936,0.01562935788953934
Shamkir district,0.026894349160166364,0.3615719269146358
Sharur district,0.10723711003804032,-0.8367806709059944
Shirvan city,0.2769665628912346,-0.1322875004941565
Shusha district,-0.5807700343905512,-0.7810177012070465
Siyazan district,0.06670772891557136,-0.1223279087659675
Sumgayit city,0.6504498021203298,0.2682857003845984
Tartar district,0.2712008259594791,0.1570679225785372
Tovuz district,0.18828434717674453,0.1981165367038118
Ujar district,0.4522789643120287,0.04018709286038935
Yardimli district,0.25190353985375474,-0.14263426189557826
Yevlakh district,-0.5362152779436921,0.37614405894267045
Zagatala district,-0.10152027891647702,0.04155677394725599
Zangilan district,-2.6264857071138015,0.1724432857536774
Zardab district,0.030813324054278668,0.0892309811040004
