Year,N,Mean,CV,Gini
2000,71,1069.9,0.224,0.117
2001,71,1064.8,0.201,0.107
2002,71,1091.1,0.228,0.116
2003,72,1076.7,0.208,0.107
2004,72,1094.4,0.237,0.127
2005,72,1105.6,0.292,0.153
2006,72,1115.7,0.307,0.151
2007,72,1128.0,0.324,0.163
2008,72,1122.8,0.344,0.171
2009,72,1140.8,0.335,0.162
2010,73,1203.0,0.327,0.169
2011,73,1242.5,0.358,0.176
2012,73,1297.7,0.3,0.147
2013,73,1366.7,0.295,0.146
2014,73,1404.4,0.292,0.14
2015,73,1465.1,0.293,0.143
2016,73,1516.4,0.333,0.162
2017,73,1554.3,0.316,0.163
2018,73,1588.3,0.319,0.162
2019,73,1598.2,0.321,0.167
2020,73,1607.5,0.336,0.176
2021,73,1646.7,0.343,0.18
2022,73,1682.6,0.342,0.183
2023,73,1825.7,0.376,0.194
2024,74,1812.1,0.375,0.202
